rank,iata_code,airport_name,latitude,longitude,iana_timezone,active
1,ORD,Chicago O'Hare International Airport,41.978600,-87.904800,America/Chicago,true
2,ATL,Hartsfield-Jackson Atlanta International Airport,33.636700,-84.428100,America/New_York,true
3,DFW,Dallas Fort Worth International Airport,32.896800,-97.038000,America/Chicago,true
4,DEN,Denver International Airport,39.861700,-104.673100,America/Denver,true
5,PHX,Phoenix Sky Harbor International Airport,33.434300,-112.011600,America/Phoenix,true
6,LAX,Los Angeles International Airport,33.942500,-118.408100,America/Los_Angeles,true
7,CLT,Charlotte Douglas International Airport,35.214000,-80.943100,America/New_York,true
8,LAS,Harry Reid International Airport,36.080100,-115.152300,America/Los_Angeles,true
9,MCO,Orlando International Airport,28.429400,-81.309000,America/New_York,true
10,SEA,Seattle-Tacoma International Airport,47.449000,-122.309300,America/Los_Angeles,true
11,BOS,Logan International Airport,42.364300,-71.005200,America/New_York,true
12,SFO,San Francisco International Airport,37.619000,-122.374900,America/Los_Angeles,true
13,DCA,Ronald Reagan Washington National Airport,38.852100,-77.037700,America/New_York,true
14,LGA,LaGuardia Airport,40.777200,-73.872600,America/New_York,true
15,DTW,Detroit Metropolitan Wayne County Airport,42.212400,-83.353400,America/Detroit,true
