flight_date,carrier_code,flight_number,origin_airport_code,destination_airport_code,crs_departure_time,cancelled_flag,arrival_delayed_15_flag,weather_match_flag,origin_temperature_2m_c,origin_precipitation_mm
2026-04-01,AA,1,JFK,LAX,0700,False,False,False,,
2026-04-01,AA,10,LAX,JFK,2144,False,False,False,,
2026-04-01,AA,1002,CLT,MIA,0855,False,False,False,,
2026-04-01,AA,1003,DEN,MIA,2331,False,True,False,,
2026-04-01,AA,1004,BOS,CLT,0733,False,False,False,,
2026-04-01,AA,1005,SFO,DFW,2335,False,False,False,,
2026-04-01,AA,1006,MIA,MSY,1905,False,True,False,,
2026-04-01,AA,1007,DFW,MSY,1955,False,False,False,,
2026-04-01,AA,1008,ATL,DFW,1630,False,False,True,28.1,0.0
2026-04-01,AA,1008,DFW,ATL,1230,False,False,False,,
2026-04-01,AA,1009,DFW,MCO,1653,False,False,False,,
2026-04-01,AA,1010,DFW,STL,2110,False,False,False,,
2026-04-01,AA,1011,MIA,CLT,0700,False,False,False,,
2026-04-01,AA,1012,TPA,PHL,0915,False,False,False,,
2026-04-01,AA,1014,DFW,TUS,0815,False,False,False,,
2026-04-01,AA,1014,TUS,DFW,0930,False,False,False,,
2026-04-01,AA,1015,PHX,ORD,1216,False,False,False,,
2026-04-01,AA,1017,JFK,MIA,1459,False,False,False,,
2026-04-01,AA,1018,PHX,DFW,1229,False,False,False,,
2026-04-01,AA,1019,SJC,DFW,0600,False,False,False,,
2026-04-01,AA,102,HNL,DFW,1846,False,False,False,,
2026-04-01,AA,1020,DTW,MIA,0600,False,False,False,,
2026-04-01,AA,1021,LAX,ORD,0619,False,False,False,,
2026-04-01,AA,1022,DFW,LBB,2105,False,True,False,,
2026-04-01,AA,1023,MCO,ORD,0900,False,False,False,,
